V,T1_C2H6,T2_C2H6
0,nan,-0.0339313
1.5,nan,nan
3,nan,nan
4.5,nan,nan
6,nan,nan
7.5,nan,nan
9,nan,nan
10.5,nan,nan
12,nan,nan
13.5,nan,nan
15,nan,nan
16.5,nan,nan
18,nan,nan
19.5,nan,nan
21,nan,nan
22.5,nan,nan
24,nan,nan
25.5,nan,nan
27,nan,nan
28.5,nan,nan
30,nan,nan
31.5,nan,nan
33,nan,nan
34.5,nan,nan
36,nan,nan
37.5,nan,nan
39,nan,nan
40.5,nan,nan
42,nan,nan
43.5,nan,nan
45,nan,nan
46.5,nan,nan
48,nan,nan
49.5,nan,nan
51,nan,nan
52.5,nan,nan
54,nan,nan
55.5,nan,nan
57,nan,nan
58.5,nan,nan
60,nan,nan
61.5,nan,nan
63,nan,nan
64.5,nan,nan
66,nan,nan
67.5,nan,nan
69,nan,nan
70.5,nan,nan
72,nan,nan
73.5,nan,nan
75,nan,nan
76.5,nan,nan
78,nan,nan
79.5,nan,nan
81,nan,nan
82.5,nan,nan
84,nan,nan
85.5,nan,nan
87,nan,nan
88.5,nan,nan
90,nan,nan
91.5,nan,nan
93,nan,nan
94.5,nan,nan
96,nan,nan
97.5,nan,nan
99,nan,nan
100.5,nan,nan
102,nan,nan
103.5,nan,nan
105,nan,nan
106.5,nan,nan
108,nan,nan
109.5,nan,nan
111,nan,nan
112.5,nan,nan
114,nan,nan
115.5,nan,nan
117,nan,nan
118.5,nan,nan
120,nan,nan
121.5,nan,nan
123,nan,nan
124.5,nan,nan
126,nan,nan
127.5,nan,nan
129,nan,nan
130.5,nan,nan
132,nan,nan
133.5,nan,nan
135,nan,nan
136.5,nan,nan
138,nan,nan
139.5,nan,nan
141,nan,nan
142.5,nan,nan
144,nan,nan
145.5,nan,nan
147,nan,nan
148.5,nan,nan
150,nan,nan
151.5,nan,nan
153,nan,nan
154.5,nan,nan
156,nan,nan
157.5,nan,nan
159,nan,nan
160.5,nan,nan
162,nan,nan
163.5,nan,nan
165,nan,nan
166.5,nan,nan
168,nan,nan
169.5,nan,nan
171,nan,nan
172.5,nan,nan
174,nan,nan
175.5,nan,nan
177,nan,nan
178.5,nan,nan
180,nan,nan
181.5,nan,nan
183,nan,nan
184.5,nan,nan
186,nan,nan
187.5,nan,nan
189,nan,nan
190.5,nan,nan
192,nan,nan
193.5,nan,nan
195,nan,nan
196.5,nan,nan
198,nan,nan
199.5,nan,nan
201,nan,nan
202.5,nan,nan
204,nan,nan
205.5,nan,nan
207,nan,nan
208.5,nan,nan
210,nan,nan
211.5,nan,nan
213,nan,nan
214.5,nan,nan
216,nan,nan
217.5,nan,nan
219,nan,nan
220.5,nan,nan
222,nan,nan
223.5,nan,nan
225,nan,nan
226.5,nan,nan
228,nan,nan
229.5,nan,nan
231,nan,nan
232.5,nan,nan
234,nan,nan
235.5,nan,nan
237,nan,nan
238.5,nan,nan
240,nan,nan
241.5,nan,nan
243,nan,nan
244.5,nan,nan
246,nan,nan
247.5,nan,nan
249,nan,nan
250.5,nan,nan
252,nan,nan
253.5,nan,nan
255,nan,nan
256.5,nan,nan
258,nan,nan
259.5,nan,nan
261,nan,nan
262.5,nan,nan
264,nan,nan
265.5,nan,nan
267,nan,nan
268.5,nan,nan
270,nan,nan
271.5,nan,nan
273,nan,nan
274.5,nan,nan
276,nan,nan
277.5,nan,nan
279,nan,nan
280.5,nan,nan
282,nan,nan
283.5,nan,nan
285,nan,nan
286.5,nan,nan
288,nan,nan
289.5,nan,nan
291,nan,nan
292.5,nan,nan
294,nan,nan
295.5,nan,nan
297,nan,nan
298.5,nan,nan
300,nan,nan
301.5,nan,nan
303,nan,nan
304.5,nan,nan
306,nan,nan
307.5,nan,nan
309,nan,nan
310.5,nan,nan
312,nan,nan
313.5,nan,nan
315,nan,nan
316.5,nan,nan
318,nan,nan
319.5,nan,nan
321,nan,nan
322.5,nan,nan
324,nan,nan
325.5,nan,nan
327,nan,nan
328.5,nan,nan
330,nan,nan
331.5,nan,nan
333,nan,nan
334.5,nan,nan
336,nan,nan
337.5,nan,nan
339,nan,nan
340.5,nan,nan
342,nan,nan
343.5,nan,nan
345,nan,nan
346.5,nan,nan
348,nan,nan
349.5,nan,nan
351,nan,nan
352.5,nan,nan
354,nan,nan
355.5,nan,nan
357,nan,nan
358.5,nan,nan
360,nan,nan
361.5,nan,nan
363,nan,nan
364.5,nan,nan
366,nan,nan
367.5,nan,nan
369,nan,nan
370.5,nan,nan
372,nan,nan
373.5,nan,nan
375,nan,nan
376.5,nan,nan
378,nan,nan
379.5,nan,nan
381,nan,nan
382.5,nan,nan
384,nan,nan
385.5,nan,nan
387,nan,nan
388.5,nan,nan
390,nan,nan
391.5,nan,nan
393,nan,nan
394.5,nan,nan
396,nan,nan
397.5,nan,nan
399,nan,nan
400.5,nan,nan
402,nan,nan
403.5,nan,nan
405,nan,nan
406.5,nan,nan
408,nan,nan
409.5,nan,nan
411,nan,nan
412.5,nan,nan
414,nan,nan
415.5,nan,nan
417,nan,nan
418.5,nan,nan
420,nan,nan
421.5,nan,nan
423,nan,nan
424.5,nan,nan
426,nan,nan
427.5,nan,nan
429,nan,nan
430.5,nan,nan
432,nan,nan
433.5,nan,nan
435,nan,nan
436.5,nan,nan
438,nan,nan
439.5,nan,nan
441,nan,nan
442.5,nan,nan
444,nan,nan
445.5,nan,nan
447,nan,nan
448.5,nan,nan
450,nan,nan
451.5,nan,nan
453,nan,nan
454.5,nan,nan
456,nan,nan
457.5,nan,nan
459,nan,nan
460.5,nan,nan
462,nan,nan
463.5,nan,nan
465,nan,nan
466.5,nan,nan
468,nan,nan
469.5,nan,nan
471,nan,nan
472.5,nan,nan
474,nan,nan
475.5,nan,nan
477,nan,nan
478.5,nan,nan
480,nan,nan
481.5,nan,nan
483,nan,nan
484.5,nan,nan
486,nan,nan
487.5,nan,nan
489,nan,nan
490.5,nan,nan
492,nan,nan
493.5,nan,nan
495,nan,nan
496.5,nan,nan
498,nan,nan
499.5,nan,nan
501,nan,nan
502.5,nan,nan
504,nan,nan
505.5,nan,nan
507,nan,nan
508.5,nan,nan
510,nan,nan
511.5,nan,nan
513,nan,nan
514.5,nan,nan
516,nan,nan
517.5,nan,nan
519,nan,nan
520.5,nan,nan
522,nan,nan
523.5,nan,nan
525,nan,nan
526.5,nan,nan
528,nan,nan
529.5,nan,nan
531,nan,nan
532.5,nan,nan
534,nan,nan
535.5,nan,nan
537,nan,nan
538.5,nan,nan
540,nan,nan
541.5,nan,nan
543,nan,nan
544.5,nan,nan
546,nan,nan
547.5,nan,nan
549,nan,nan
550.5,nan,nan
552,nan,nan
553.5,nan,nan
555,nan,nan
556.5,nan,nan
558,nan,nan
559.5,nan,nan
561,nan,nan
562.5,nan,nan
564,nan,nan
565.5,nan,nan
567,nan,nan
568.5,nan,nan
570,nan,nan
571.5,nan,nan
573,nan,nan
574.5,nan,nan
576,nan,nan
577.5,nan,nan
579,nan,nan
580.5,nan,nan
582,nan,nan
583.5,nan,nan
585,nan,nan
586.5,nan,nan
588,nan,nan
589.5,nan,nan
591,nan,nan
592.5,nan,nan
594,nan,nan
595.5,nan,nan
597,nan,nan
598.5,nan,nan
600,nan,nan
601.5,nan,nan
603,nan,nan
604.5,nan,nan
606,nan,nan
607.5,nan,nan
609,nan,nan
610.5,nan,nan
612,nan,nan
613.5,nan,nan
615,nan,nan
616.5,nan,nan
618,nan,nan
619.5,nan,nan
621,nan,nan
622.5,nan,nan
624,nan,nan
625.5,nan,nan
627,nan,nan
628.5,nan,nan
630,nan,nan
631.5,nan,nan
633,nan,nan
634.5,nan,nan
636,nan,nan
637.5,nan,nan
639,nan,nan
640.5,nan,nan
642,nan,nan
643.5,nan,nan
645,nan,nan
646.5,nan,nan
648,nan,nan
649.5,nan,nan
651,nan,nan
652.5,nan,nan
654,nan,nan
655.5,nan,nan
657,nan,nan
658.5,nan,nan
660,nan,nan
661.5,nan,nan
663,nan,nan
664.5,nan,nan
666,nan,nan
667.5,nan,nan
669,nan,nan
670.5,nan,nan
672,nan,nan
673.5,nan,nan
675,nan,nan
676.5,nan,nan
678,nan,nan
679.5,nan,nan
681,nan,nan
682.5,nan,nan
684,nan,nan
685.5,nan,nan
687,nan,nan
688.5,nan,nan
690,nan,nan
691.5,nan,nan
693,nan,nan
694.5,nan,nan
696,nan,nan
697.5,nan,nan
699,nan,nan
700.5,nan,nan
702,nan,nan
703.5,nan,nan
705,nan,nan
706.5,nan,nan
708,nan,nan
709.5,nan,nan
711,nan,nan
712.5,nan,nan
714,nan,nan
715.5,nan,nan
717,nan,nan
718.5,nan,nan
720,nan,nan
721.5,nan,nan
723,nan,nan
724.5,nan,nan
726,nan,nan
727.5,nan,nan
729,nan,nan
730.5,nan,nan
732,nan,nan
733.5,nan,nan
735,nan,nan
736.5,nan,nan
738,nan,nan
739.5,nan,nan
741,nan,nan
742.5,nan,nan
744,nan,nan
745.5,nan,nan
747,nan,nan
748.5,nan,nan
750,nan,nan
751.5,nan,nan
753,nan,nan
754.5,nan,nan
756,nan,nan
757.5,nan,nan
759,nan,nan
760.5,nan,nan
762,nan,nan
763.5,nan,nan
765,nan,nan
766.5,nan,nan
768,nan,nan
769.5,nan,nan
771,nan,nan
772.5,nan,nan
774,nan,nan
775.5,nan,nan
777,nan,nan
778.5,nan,nan
780,nan,nan
781.5,nan,nan
783,nan,nan
784.5,nan,nan
786,nan,nan
787.5,nan,nan
789,nan,nan
790.5,nan,nan
792,nan,nan
793.5,nan,nan
795,nan,nan
796.5,nan,nan
798,nan,nan
799.5,nan,nan
801,nan,nan
802.5,nan,nan
804,nan,nan
805.5,nan,nan
807,nan,nan
808.5,nan,nan
810,nan,nan
811.5,nan,nan
813,nan,nan
814.5,nan,nan
816,nan,nan
817.5,nan,nan
819,nan,nan
820.5,nan,nan
822,nan,nan
823.5,nan,nan
825,nan,nan
826.5,nan,nan
828,nan,nan
829.5,nan,nan
831,nan,nan
832.5,nan,nan
834,nan,nan
835.5,nan,nan
837,nan,nan
838.5,nan,nan
840,nan,nan
841.5,nan,nan
843,nan,nan
844.5,nan,nan
846,nan,nan
847.5,nan,nan
849,nan,nan
850.5,nan,nan
852,nan,nan
853.5,nan,nan
855,nan,nan
856.5,nan,nan
858,nan,nan
859.5,nan,nan
861,nan,nan
862.5,nan,nan
864,nan,nan
865.5,nan,nan
867,nan,nan
868.5,nan,nan
870,nan,nan
871.5,nan,nan
873,nan,nan
874.5,nan,nan
876,nan,nan
877.5,nan,nan
879,nan,nan
880.5,nan,nan
882,nan,nan
883.5,nan,nan
885,nan,nan
886.5,nan,nan
888,nan,nan
889.5,nan,nan
891,nan,nan
892.5,nan,nan
894,nan,nan
895.5,nan,nan
897,nan,nan
898.5,nan,nan
900,nan,nan
901.5,nan,nan
903,nan,nan
904.5,nan,nan
906,nan,nan
907.5,nan,nan
909,nan,nan
910.5,nan,nan
912,nan,nan
913.5,nan,nan
915,nan,nan
916.5,nan,nan
918,nan,nan
919.5,nan,nan
921,nan,nan
922.5,nan,nan
924,nan,nan
925.5,nan,nan
927,nan,nan
928.5,nan,nan
930,nan,nan
931.5,nan,nan
933,nan,nan
934.5,nan,nan
936,nan,nan
937.5,nan,nan
939,nan,nan
940.5,nan,nan
942,nan,nan
943.5,nan,nan
945,nan,nan
946.5,nan,nan
948,nan,nan
949.5,nan,nan
951,nan,nan
952.5,nan,nan
954,nan,nan
955.5,nan,nan
957,nan,nan
958.5,nan,nan
960,nan,nan
961.5,nan,nan
963,nan,nan
964.5,nan,nan
966,nan,nan
967.5,nan,nan
969,nan,nan
970.5,nan,nan
972,nan,nan
973.5,nan,nan
975,nan,nan
976.5,nan,nan
978,nan,nan
979.5,nan,nan
981,nan,nan
982.5,nan,nan
984,nan,nan
985.5,nan,nan
987,nan,nan
988.5,nan,nan
990,nan,nan
991.5,nan,nan
993,nan,nan
994.5,nan,nan
996,nan,nan
997.5,nan,nan
999,nan,nan
1000.5,nan,nan
1002,nan,nan
1003.5,nan,nan
1005,nan,nan
1006.5,nan,nan
1008,nan,nan
1009.5,nan,nan
1011,nan,nan
1012.5,nan,nan
1014,nan,nan
1015.5,nan,nan
1017,nan,nan
1018.5,nan,nan
1020,nan,nan
1021.5,nan,nan
1023,nan,nan
1024.5,nan,nan
1026,nan,nan
1027.5,nan,nan
1029,nan,nan
1030.5,nan,nan
1032,nan,nan
1033.5,nan,nan
1035,nan,nan
1036.5,nan,nan
1038,nan,nan
1039.5,nan,nan
1041,nan,nan
1042.5,nan,nan
1044,nan,nan
1045.5,nan,nan
1047,nan,nan
1048.5,nan,nan
1050,nan,nan
1051.5,nan,nan
1053,nan,nan
1054.5,nan,nan
1056,nan,nan
1057.5,nan,nan
1059,nan,nan
1060.5,nan,nan
1062,nan,nan
1063.5,nan,nan
1065,nan,nan
1066.5,nan,nan
1068,nan,nan
1069.5,nan,nan
1071,nan,nan
1072.5,nan,nan
1074,nan,nan
1075.5,nan,nan
1077,nan,nan
1078.5,nan,nan
1080,nan,nan
1081.5,nan,nan
1083,nan,nan
1084.5,nan,nan
1086,nan,nan
1087.5,nan,nan
1089,nan,nan
1090.5,nan,nan
1092,nan,nan
1093.5,nan,nan
1095,nan,nan
1096.5,nan,nan
1098,nan,nan
1099.5,nan,nan
1101,nan,nan
1102.5,nan,nan
1104,nan,nan
1105.5,nan,nan
1107,nan,nan
1108.5,nan,nan
1110,nan,nan
1111.5,nan,nan
1113,nan,nan
1114.5,nan,nan
1116,nan,nan
1117.5,nan,nan
1119,nan,nan
1120.5,nan,nan
1122,nan,nan
1123.5,nan,nan
1125,nan,nan
1126.5,nan,nan
1128,nan,nan
1129.5,nan,nan
1131,nan,nan
1132.5,nan,nan
1134,nan,nan
1135.5,nan,nan
1137,nan,nan
1138.5,nan,nan
1140,nan,nan
1141.5,nan,nan
1143,nan,nan
1144.5,nan,nan
1146,nan,nan
1147.5,nan,nan
1149,nan,nan
1150.5,nan,nan
1152,nan,nan
1153.5,nan,nan
1155,nan,nan
1156.5,nan,nan
1158,nan,nan
1159.5,nan,nan
1161,nan,nan
1162.5,nan,nan
1164,nan,nan
1165.5,nan,nan
1167,nan,nan
1168.5,nan,nan
1170,nan,nan
1171.5,nan,nan
1173,nan,nan
1174.5,nan,nan
1176,nan,nan
1177.5,nan,nan
1179,nan,nan
1180.5,nan,nan
1182,nan,nan
1183.5,nan,nan
1185,nan,nan
1186.5,nan,nan
1188,nan,nan
1189.5,nan,nan
1191,nan,nan
1192.5,nan,nan
1194,nan,nan
1195.5,nan,nan
1197,nan,nan
1198.5,nan,nan
1200,nan,nan
1201.5,nan,nan
1203,nan,nan
1204.5,nan,nan
1206,nan,nan
1207.5,nan,nan
1209,nan,nan
1210.5,nan,nan
1212,nan,nan
1213.5,nan,nan
1215,nan,nan
1216.5,nan,nan
1218,nan,nan
1219.5,nan,nan
1221,nan,nan
1222.5,nan,nan
1224,nan,nan
1225.5,nan,nan
1227,nan,nan
1228.5,nan,nan
1230,nan,nan
1231.5,nan,nan
1233,nan,nan
1234.5,nan,nan
1236,nan,nan
1237.5,nan,nan
1239,nan,nan
1240.5,nan,nan
1242,nan,nan
1243.5,nan,nan
1245,nan,nan
1246.5,nan,nan
1248,nan,nan
1249.5,nan,nan
1251,nan,nan
1252.5,nan,nan
1254,nan,nan
1255.5,nan,nan
1257,nan,nan
1258.5,nan,nan
1260,nan,nan
1261.5,nan,nan
1263,nan,nan
1264.5,nan,nan
1266,nan,nan
1267.5,nan,nan
1269,nan,nan
1270.5,nan,nan
1272,nan,nan
1273.5,nan,nan
1275,nan,nan
1276.5,nan,nan
1278,nan,nan
1279.5,nan,nan
1281,nan,nan
1282.5,nan,nan
1284,nan,nan
1285.5,nan,nan
1287,nan,nan
1288.5,nan,nan
1290,nan,nan
1291.5,nan,nan
1293,nan,nan
1294.5,nan,nan
1296,nan,nan
1297.5,nan,nan
1299,nan,nan
1300.5,nan,nan
1302,nan,nan
1303.5,nan,nan
1305,nan,nan
1306.5,nan,nan
1308,nan,nan
1309.5,nan,nan
1311,nan,nan
1312.5,nan,nan
1314,nan,nan
1315.5,nan,nan
1317,nan,nan
1318.5,nan,nan
1320,nan,nan
1321.5,nan,nan
1323,nan,nan
1324.5,nan,nan
1326,nan,nan
1327.5,nan,nan
1329,nan,nan
1330.5,nan,nan
1332,nan,nan
1333.5,nan,nan
1335,nan,nan
1336.5,nan,nan
1338,nan,nan
1339.5,nan,nan
1341,nan,nan
1342.5,nan,nan
1344,nan,nan
1345.5,nan,nan
1347,nan,nan
1348.5,nan,nan
1350,nan,nan
1351.5,nan,nan
1353,nan,nan
1354.5,nan,nan
1356,nan,nan
1357.5,nan,nan
1359,nan,nan
1360.5,nan,nan
1362,nan,nan
1363.5,nan,nan
1365,nan,nan
1366.5,nan,nan
1368,nan,nan
1369.5,nan,nan
1371,nan,nan
1372.5,nan,nan
1374,nan,nan
1375.5,nan,nan
1377,nan,nan
1378.5,nan,nan
1380,nan,nan
1381.5,nan,nan
1383,nan,nan
1384.5,nan,nan
1386,nan,nan
1387.5,nan,nan
1389,nan,nan
1390.5,nan,nan
1392,nan,nan
1393.5,nan,nan
1395,nan,nan
1396.5,nan,nan
1398,nan,nan
1399.5,nan,nan
1401,nan,nan
1402.5,nan,nan
1404,nan,nan
1405.5,nan,nan
1407,nan,nan
1408.5,nan,nan
1410,nan,nan
1411.5,nan,nan
1413,nan,nan
1414.5,nan,nan
1416,nan,nan
1417.5,nan,nan
1419,nan,nan
1420.5,nan,nan
1422,nan,nan
1423.5,nan,nan
1425,nan,nan
1426.5,nan,nan
1428,nan,nan
1429.5,nan,nan
1431,nan,nan
1432.5,nan,nan
